,w,name,h,m
1,TRUE,Roma,7.5,8.5
2,TRUE,Elle,8,7
3,TRUE,Old boy,9,9.5
4,TRUE,Gran Torino,8,7.5
5,TRUE,Green book,5.5,5
6,TRUE,Snatch,7,7.5
7,TRUE,Blood diamond,5,4
8,TRUE,Snowpiercer,7.5,6.5
9,TRUE,Raw,9,8
10,TRUE,Mullholand drive,7.5,9
11,TRUE,Cinema Paradiso,9,9
12,TRUE,Blindspotting,6.5,6.5
13,FALSE,Trainspotting,,
14,FALSE,The Handmaiden,,
15,TRUE,Requiem for a dream,9.5,9
16,FALSE,The secret in their eyes,,
17,TRUE,Tinker Tailor Soldier Spy,8,7.5
18,FALSE,The Deer Hunter,,
19,TRUE,Shoplifters,8.5,9
20,TRUE,Into the Spiderverse,7,7.5
21,TRUE,Fitzcarraldo,,
22,TRUE,A better tomorrow,6,6
23,FALSE,Stroszek,,
24,TRUE,Blow out,8,8
25,FALSE,Rashomon,,
26,FALSE,The seven Samurai,,
27,TRUE,Anatomy of a murder,7.5,8
28,FALSE,Doctor Zhivago,,
29,TRUE,We need to talk about Kevin,7,6.5
30,FALSE,Scarface,,
31,TRUE,Network (1976),8.5,9
32,TRUE,Prisoners,7.5,7.5
33,TRUE,Battle Royale,7.5,7
34,TRUE,Lolita,7.5,8
35,FALSE,Wonder,,
36,FALSE,Synecdoche New York,,
37,FALSE,Monster,,
38,TRUE,Pan’s Labyrinth,7,8.5
39,FALSE,Starship troopers,,
40,FALSE,The Shape of Water,,
41,FALSE,You were never really here,,
42,FALSE,Inherent vice,,
43,FALSE,Lawrence of Arabia,,
44,TRUE,My Left Foot,8.5,8
45,TRUE,Parasite,9,10
46,FALSE,21 Grams,,
47,TRUE,The Lives of Others,9,9
48,TRUE,Okja,7,6
49,FALSE,Sleep has her house,,
50,TRUE,Still walking,8,8
51,TRUE,High life,3,4
52,TRUE,Four Lions,6.5,7.5
53,FALSE,Nosferatu,,
54,FALSE,LA Confidential,,
55,FALSE,The Lighthouse,,
56,FALSE,Boys Don’t Cry,,
57,TRUE,The nightingale,6,6.5
58,FALSE,Portrait of a Girl on Fire,,
59,TRUE,Blue is the Warmest Colour,9,9
60,FALSE,Sorry we missed you,,
61,FALSE,Secret in their Eyes 2009,,
62,FALSE,The Conversation,,
63,TRUE,Your Name,8.5,8.5
64,FALSE,Boys Don’t Cry,8,7.5
65,FALSE,Harikiri,,
66,FALSE,Capernaum,,
67,TRUE,In the mood for love,7.5,8
68,FALSE,The tree of life,,
69,FALSE,The unbearable lightness of being,,
70,FALSE,The 400 Blows,,
71,FALSE,Never let me go,,
72,FALSE,Book smart,,
73,TRUE,Gaslight,8,9
74,FALSE,The Omega Man,,
75,FALSE,Being John Malkovic,,
76,FALSE,We are who we are,,
77,TRUE,Hamilton,8,8.5
78,FALSE,Cloverfield,,
79,FALSE,Mars Attack,,
80,FALSE,They live,,
81,FALSE,City of Lost children,,
82,FALSE,The third man,,
83,FALSE,Gilda,,
84,FALSE,Rope,,
85,FALSE,La Dolce Vita,,
86,FALSE,Naked Childhood,,
87,FALSE,3 Idiots,,
88,FALSE,I'm Thinking of Ending Things,,
89,FALSE,Playtime,,
90,FALSE,Solaris,,
91,FALSE,Stalker,,
92,TRUE,Songs from the Second Floor,8,8.5
93,FALSE,Cars 2,,
94,TRUE,Another Round,9,9
95,TRUE,Akira,9,9
96,TRUE,Widows,8.5,8
97,TRUE,Legend,6.5,7
98,TRUE,Ex Machina,9.5,9.5
99,TRUE,Richard Jewell,5,5
100,TRUE,Hell or Highwater,9,8.5
101,FALSE,Taste ,,
102,FALSE,Come and See,,
103,FALSE,Its such a beautiful day,,
104,FALSE,Perks of Being a wallflower,,
,FALSE,A separation,,
